CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12394,64,2,1272.48,2011-10-07,3,2,4,324,9,Potential Loyalists
12395,20,12,3018.63,2011-11-20,4,5,5,455,14,Champions
12397,36,2,2409.9,2011-11-04,3,2,5,325,10,Potential Loyalists
12398,46,1,1635.66,2011-10-25,3,1,4,314,8,Potential Loyalists
12399,120,4,1108.65,2011-08-12,2,4,4,244,10,Can't Lose Them
12401,304,1,84.3,2011-02-09,1,1,1,111,3,Lost
12402,324,1,225.6,2011-01-20,1,1,1,111,3,Lost
12403,50,1,427.7,2011-10-21,3,1,2,312,6,Promising
12405,149,1,1710.39,2011-07-14,2,1,4,214,7,Other
12406,23,2,3415.3,2011-11-17,4,2,5,425,11,Potential Loyalists
12407,50,5,1708.12,2011-10-21,3,4,4,344,11,Loyal Customers
12408,33,5,2888.55,2011-11-07,4,4,5,445,13,Champions
12409,79,3,11072.67,2011-09-22,2,3,5,235,10,At Risk
12410,309,2,693.33,2011-02-04,1,2,3,123,6,Other
12412,75,3,1226.88,2011-09-26,2,3,4,234,9,At Risk
12413,67,3,758.1,2011-10-04,3,3,3,333,9,Loyal Customers
12414,218,3,562.41,2011-05-06,1,3,3,133,7,At Risk
12415,25,21,124914.53,2011-11-15,4,5,5,455,14,Champions
12417,4,9,3649.1,2011-12-06,5,5,5,555,15,Champions
12418,113,1,668.58,2011-08-19,2,1,3,213,6,Other
12420,64,1,600.39,2011-10-07,3,1,3,313,7,Potential Loyalists
12421,16,4,807.04,2011-11-24,4,4,3,443,11,Loyal Customers
12422,96,3,803.56,2011-09-05,2,3,3,233,8,Need Attention
12423,1,8,1859.31,2011-12-09,5,5,4,554,14,Champions
12424,163,2,1760.96,2011-06-30,2,2,4,224,8,Other
12425,79,1,777.2,2011-09-22,2,1,3,213,6,Other
12426,195,1,582.73,2011-05-29,1,1,3,113,5,Other
12427,22,3,825.8,2011-11-18,4,3,3,433,10,Loyal Customers
12428,26,9,7956.46,2011-11-14,4,5,5,455,14,Champions
12429,10,4,3750.4,2011-11-30,5,4,5,545,14,Champions
12430,44,1,256.4,2011-10-27,3,1,2,312,6,Promising
12431,36,15,6419.95,2011-11-04,3,5,5,355,13,Loyal Customers
12432,43,5,5059.32,2011-10-28,3,4,5,345,12,Loyal Customers
12433,1,7,13375.87,2011-12-09,5,5,5,555,15,Champions
12434,85,2,806.14,2011-09-16,2,2,3,223,7,Need Attention
12435,80,2,7829.89,2011-09-21,2,2,5,225,9,Other
12436,100,1,509.01,2011-09-01,2,1,3,213,6,Other
12437,2,18,4951.41,2011-12-08,5,5,5,555,15,Champions
12438,15,2,2906.85,2011-11-25,4,2,5,425,11,Potential Loyalists
12441,367,1,173.55,2010-12-08,1,1,1,111,3,Lost
12442,4,1,172.06,2011-12-06,5,1,1,511,7,Recent Customers
12444,22,5,5005.46,2011-11-18,4,4,5,445,13,Champions
12445,23,1,133.4,2011-11-17,4,1,1,411,6,Recent Customers
12446,58,1,1002.31,2011-10-13,3,1,4,314,8,Potential Loyalists
12447,244,1,476.49,2011-04-10,1,1,2,112,4,Hibernating
12448,45,1,449.45,2011-10-26,3,1,2,312,6,Promising
12449,23,4,4067.29,2011-11-17,4,4,5,445,13,Champions
12450,157,2,197.88,2011-07-06,2,2,1,221,5,About to Sleep
12451,11,5,9035.52,2011-11-29,5,4,5,545,14,Champions
12452,17,2,430.57,2011-11-23,4,2,2,422,8,Promising
12453,135,1,707.09,2011-07-28,2,1,3,213,6,Other
12454,57,1,3528.34,2011-10-14,3,1,5,315,9,Potential Loyalists
12455,74,6,2466.86,2011-09-27,2,4,5,245,11,Can't Lose Them
12456,45,3,3181.04,2011-10-26,3,3,5,335,11,Loyal Customers
12457,67,7,2363.23,2011-10-04,3,5,5,355,13,Loyal Customers
12458,72,2,947.4,2011-09-29,3,2,4,324,9,Potential Loyalists
12461,95,2,826.88,2011-09-06,2,2,3,223,7,Need Attention
12462,19,2,1189.59,2011-11-21,4,2,4,424,10,Potential Loyalists
12463,54,4,1344.78,2011-10-17,3,4,4,344,11,Loyal Customers
12464,11,8,1212.05,2011-11-29,5,5,4,554,14,Champions
12465,18,2,742.19,2011-11-22,4,2,3,423,9,Potential Loyalists
12468,188,2,729.54,2011-06-05,1,2,3,123,6,Other
12471,3,30,19788.65,2011-12-07,5,5,5,555,15,Champions
12472,33,7,6572.11,2011-11-07,4,5,5,455,14,Champions
12473,30,5,3928.05,2011-11-10,4,4,5,445,13,Champions
12474,18,18,7324.09,2011-11-22,4,5,5,455,14,Champions
12475,54,1,723.38,2011-10-17,3,1,3,313,7,Potential Loyalists
12476,16,11,6816.42,2011-11-24,4,5,5,455,14,Champions
12477,23,6,13219.74,2011-11-17,4,4,5,445,13,Champions
12478,4,1,680.99,2011-12-06,5,1,3,513,9,Potential Loyalists
12479,12,1,527.2,2011-11-28,5,1,3,513,9,Potential Loyalists
12480,29,4,3281.63,2011-11-11,4,4,5,445,13,Champions
12481,23,10,5579.82,2011-11-17,4,5,5,455,14,Champions
12483,18,8,2484.98,2011-11-22,4,5,5,455,14,Champions
12484,33,6,4527.32,2011-11-07,4,4,5,445,13,Champions
12488,10,3,1298.66,2011-11-30,5,3,4,534,12,Loyal Customers
12489,337,1,334.93,2011-01-07,1,1,2,112,4,Hibernating
12490,6,10,5417.93,2011-12-04,5,5,5,555,15,Champions
12491,39,1,460.4,2011-11-01,3,1,2,312,6,Promising
12492,64,2,263.21,2011-10-07,3,2,2,322,7,Promising
12493,166,2,433.74,2011-06-27,2,2,2,222,6,Need Attention
12494,16,7,1246.1,2011-11-24,4,5,4,454,13,Champions
12497,82,1,1043.1,2011-09-19,2,1,4,214,7,Other
12498,22,3,403.7,2011-11-18,4,3,2,432,9,Potential Loyalists
12500,24,11,4257.82,2011-11-16,4,5,5,455,14,Champions
12501,337,1,2169.39,2011-01-07,1,1,5,115,7,Other
12502,96,5,3723.87,2011-09-05,2,4,5,245,11,Can't Lose Them
12504,19,2,482.05,2011-11-21,4,2,2,422,8,Promising
12506,233,1,73.5,2011-04-21,1,1,1,111,3,Lost
12507,135,3,1304.81,2011-07-28,2,3,4,234,9,At Risk
12508,27,2,397.88,2011-11-13,4,2,2,422,8,Promising
12509,285,1,176.5,2011-02-28,1,1,1,111,3,Lost
12510,143,2,982.57,2011-07-20,2,2,4,224,8,Other
12512,67,2,132.18,2011-10-04,3,2,1,321,6,Promising
12513,113,1,612.29,2011-08-19,2,1,3,213,6,Other
12514,268,1,1017.68,2011-03-17,1,1,4,114,6,Other
12515,354,1,383.7,2010-12-21,1,1,2,112,4,Hibernating
12516,78,2,1312.06,2011-09-23,2,2,4,224,8,Other
12517,29,5,2481.6,2011-11-11,4,4,5,445,13,Champions
12518,1,5,2056.89,2011-12-09,5,4,5,545,14,Champions
12519,64,1,330.84,2011-10-07,3,1,2,312,6,Promising
12520,80,5,2634.26,2011-09-21,2,4,5,245,11,Can't Lose Them
12521,143,1,599.68,2011-07-20,2,1,3,213,6,Other
12522,40,2,192.72,2011-10-31,3,2,1,321,6,Promising
12523,20,11,1789.77,2011-11-20,4,5,4,454,13,Champions
12524,10,8,4485.72,2011-11-30,5,5,5,555,15,Champions
12526,1,3,1316.66,2011-12-09,5,3,4,534,12,Loyal Customers
12527,82,3,348.71,2011-09-19,2,3,2,232,7,Need Attention
12528,10,6,1933.48,2011-11-30,5,5,4,554,14,Champions
12530,60,4,1662.28,2011-10-11,3,4,4,344,11,Loyal Customers
12531,15,1,125.22,2011-11-25,4,1,1,411,6,Recent Customers
12532,31,1,349.83,2011-11-09,4,1,2,412,7,Promising
12534,131,1,1089.18,2011-08-01,2,1,4,214,7,Other
12535,92,2,716.35,2011-09-09,2,2,3,223,7,Need Attention
12536,44,3,12601.83,2011-10-27,3,3,5,335,11,Loyal Customers
12538,30,1,363.95,2011-11-10,4,1,2,412,7,Promising
12539,23,4,5568.35,2011-11-17,4,4,5,445,13,Champions
12540,20,17,13400.24,2011-11-20,4,5,5,455,14,Champions
12541,30,3,981.18,2011-11-10,4,3,4,434,11,Loyal Customers
12544,37,1,372.7,2011-11-03,3,1,2,312,6,Promising
12545,76,2,1000.39,2011-09-25,2,2,4,224,8,Other
12546,47,2,1161.5,2011-10-24,3,2,4,324,9,Potential Loyalists
12547,198,2,207.8,2011-05-26,1,2,1,121,4,Hibernating
12548,167,1,95.2,2011-06-26,2,1,1,211,4,About to Sleep
12550,80,1,964.83,2011-09-21,2,1,4,214,7,Other
12551,358,1,168.0,2010-12-17,1,1,1,111,3,Lost
12552,39,2,437.82,2011-11-01,3,2,2,322,7,Promising
12553,9,10,3692.28,2011-12-01,5,5,5,555,15,Champions
12556,51,2,599.56,2011-10-20,3,2,3,323,8,Potential Loyalists
12557,17,5,11990.96,2011-11-23,4,4,5,445,13,Champions
12558,8,1,269.96,2011-12-02,5,1,2,512,8,Promising
12559,311,2,561.71,2011-02-02,1,2,3,123,6,Other
12560,6,3,2134.01,2011-12-04,5,3,5,535,13,Loyal Customers
12561,303,1,238.85,2011-02-10,1,1,1,111,3,Lost
12562,9,7,3781.74,2011-12-01,5,5,5,555,15,Champions
12564,262,1,456.9,2011-03-23,1,1,2,112,4,Hibernating
12565,289,1,145.92,2011-02-24,1,1,1,111,3,Lost
12566,87,1,351.65,2011-09-14,2,1,2,212,5,About to Sleep
12567,23,10,9401.28,2011-11-17,4,5,5,455,14,Champions
12569,3,32,4124.69,2011-12-07,5,5,5,555,15,Champions
12571,40,2,519.61,2011-10-31,3,2,3,323,8,Potential Loyalists
12572,9,2,1020.42,2011-12-01,5,2,4,524,11,Potential Loyalists
12573,228,1,160.54,2011-04-26,1,1,1,111,3,Lost
12574,316,1,218.45,2011-01-28,1,1,1,111,3,Lost
12576,36,5,1315.83,2011-11-04,3,4,4,344,11,Loyal Customers
12577,36,3,626.6,2011-11-04,3,3,3,333,9,Loyal Customers
12578,22,2,2794.51,2011-11-18,4,2,5,425,11,Potential Loyalists
12579,79,1,440.42,2011-09-22,2,1,2,212,5,About to Sleep
12580,247,1,415.7,2011-04-07,1,1,2,112,4,Hibernating
12581,40,1,197.71,2011-10-31,3,1,1,311,5,Promising
12582,239,2,511.36,2011-04-15,1,2,3,123,6,Other
12583,3,15,7281.38,2011-12-07,5,5,5,555,15,Champions
12584,4,9,2338.15,2011-12-06,5,5,5,555,15,Champions
12585,235,2,2040.1,2011-04-19,1,2,4,124,7,Other
12586,18,1,196.94,2011-11-22,4,1,1,411,6,Recent Customers
12587,8,1,144.0,2011-12-02,5,1,1,511,7,Recent Customers
12588,40,1,214.9,2011-10-31,3,1,1,311,5,Promising
12589,29,2,646.68,2011-11-11,4,2,3,423,9,Potential Loyalists
12590,212,2,9864.26,2011-05-12,1,2,5,125,8,Other
12591,318,1,452.85,2011-01-26,1,1,2,112,4,Hibernating
12592,93,2,437.6,2011-09-08,2,2,2,222,6,Need Attention
12593,109,3,418.1,2011-08-23,2,3,2,232,7,Need Attention
12594,38,10,3338.22,2011-11-02,3,5,5,355,13,Loyal Customers
12596,52,2,618.27,2011-10-19,3,2,3,323,8,Potential Loyalists
12597,20,4,3811.22,2011-11-20,4,4,5,445,13,Champions
12598,10,8,3023.08,2011-11-30,5,5,5,555,15,Champions
12599,30,7,1032.58,2011-11-10,4,5,4,454,13,Champions
12600,29,10,2599.04,2011-11-11,4,5,5,455,14,Champions
12601,190,5,577.06,2011-06-03,1,4,3,143,8,At Risk
12602,59,1,153.12,2011-10-12,3,1,1,311,5,Promising
12603,22,1,739.2,2011-11-18,4,1,3,413,8,Potential Loyalists
12604,80,2,254.18,2011-09-21,2,2,2,222,6,Need Attention
12607,61,1,1579.51,2011-10-10,3,1,4,314,8,Potential Loyalists
12609,79,3,1126.85,2011-09-22,2,3,4,234,9,At Risk
12610,23,5,2099.54,2011-11-17,4,4,5,445,13,Champions
12611,53,1,1193.32,2011-10-18,3,1,4,314,8,Potential Loyalists
12612,75,1,704.04,2011-09-26,2,1,3,213,6,Other
12613,58,5,3344.38,2011-10-13,3,4,5,345,12,Loyal Customers
12614,278,1,315.6,2011-03-07,1,1,2,112,4,Hibernating
12615,3,4,2291.19,2011-12-07,5,4,5,545,14,Champions
12616,96,2,713.3,2011-09-05,2,2,3,223,7,Need Attention
12617,30,1,352.98,2011-11-10,4,1,2,412,7,Promising
12618,22,1,177.31,2011-11-18,4,1,1,411,6,Recent Customers
12619,17,9,3641.24,2011-11-23,4,5,5,455,14,Champions
12620,15,3,1339.41,2011-11-25,4,3,4,434,11,Loyal Customers
12621,2,20,13689.67,2011-12-08,5,5,5,555,15,Champions
12622,233,1,180.1,2011-04-21,1,1,1,111,3,Lost
12623,277,1,305.1,2011-03-08,1,1,2,112,4,Hibernating
12624,107,2,641.13,2011-08-25,2,2,3,223,7,Need Attention
12625,212,2,2683.82,2011-05-12,1,2,5,125,8,Other
12626,24,9,6620.48,2011-11-16,4,5,5,455,14,Champions
12627,11,7,4478.53,2011-11-29,5,5,5,555,15,Champions
12628,5,3,786.46,2011-12-05,5,3,3,533,11,Loyal Customers
12630,10,2,1270.88,2011-11-30,5,2,4,524,11,Potential Loyalists
12631,58,1,640.5,2011-10-13,3,1,3,313,7,Potential Loyalists
12633,59,4,2163.98,2011-10-12,3,4,5,345,12,Loyal Customers
12635,90,2,1689.18,2011-09-11,2,2,4,224,8,Other
12637,68,8,6002.9,2011-10-03,3,5,5,355,13,Loyal Customers
12638,34,1,671.69,2011-11-06,3,1,3,313,7,Potential Loyalists
12639,239,1,486.1,2011-04-15,1,1,2,112,4,Hibernating
12640,24,3,1174.58,2011-11-16,4,3,4,434,11,Loyal Customers
12641,116,1,185.9,2011-08-16,2,1,1,211,4,About to Sleep
12642,26,3,1013.26,2011-11-14,4,3,4,434,11,Loyal Customers
12643,129,6,3344.64,2011-08-03,2,5,5,255,12,Can't Lose Them
12644,130,1,477.91,2011-08-02,2,1,2,212,5,About to Sleep
12645,34,4,1775.18,2011-11-06,3,4,4,344,11,Loyal Customers
12646,5,2,1346.97,2011-12-05,5,2,4,524,11,Potential Loyalists
12647,23,12,3722.82,2011-11-17,4,5,5,455,14,Champions
12648,155,1,318.05,2011-07-08,2,1,2,212,5,About to Sleep
12649,108,3,623.51,2011-08-24,2,3,3,233,8,Need Attention
12650,4,1,314.44,2011-12-06,5,1,2,512,8,Promising
12651,335,1,114.0,2011-01-09,1,1,1,111,3,Lost
12652,332,1,919.98,2011-01-12,1,1,3,113,5,Other
12653,149,2,2209.85,2011-07-14,2,2,5,225,9,Other
12654,11,5,601.98,2011-11-29,5,4,3,543,12,Loyal Customers
12656,18,5,4051.17,2011-11-22,4,4,5,445,13,Champions
12657,12,4,1643.18,2011-11-28,5,4,4,544,13,Champions
12658,19,1,686.05,2011-11-21,4,1,3,413,8,Potential Loyalists
12659,30,1,91.68,2011-11-10,4,1,1,411,6,Recent Customers
12660,12,1,245.1,2011-11-28,5,1,1,511,7,Recent Customers
12662,1,11,3849.78,2011-12-09,5,5,5,555,15,Champions
12664,9,9,4881.88,2011-12-01,5,5,5,555,15,Champions
12665,325,1,63.0,2011-01-19,1,1,1,111,3,Lost
12667,59,1,620.13,2011-10-12,3,1,3,313,7,Potential Loyalists
12668,12,4,3807.15,2011-11-28,5,4,5,545,14,Champions
12669,151,3,2744.03,2011-07-12,2,3,5,235,10,At Risk
12670,11,5,2996.05,2011-11-29,5,4,5,545,14,Champions
12672,330,1,225.9,2011-01-14,1,1,1,111,3,Lost
12673,6,2,610.52,2011-12-04,5,2,3,523,10,Potential Loyalists
12674,39,4,1970.6,2011-11-01,3,4,4,344,11,Loyal Customers
12676,25,6,1331.39,2011-11-15,4,5,4,454,13,Champions
12678,43,12,17628.46,2011-10-28,3,5,5,355,13,Loyal Customers
12679,59,4,1113.02,2011-10-12,3,4,4,344,11,Loyal Customers
12680,1,4,862.81,2011-12-09,5,4,3,543,12,Loyal Customers
12681,15,22,13787.54,2011-11-25,4,5,5,455,14,Champions
12682,4,31,12279.82,2011-12-06,5,5,5,555,15,Champions
12683,5,15,8476.57,2011-12-05,5,5,5,555,15,Champions
12684,8,7,2283.63,2011-12-02,5,5,5,555,15,Champions
12685,29,6,2863.08,2011-11-11,4,5,5,455,14,Champions
12686,372,1,89.14,2010-12-03,1,1,1,111,3,Lost
12688,114,1,4873.81,2011-08-18,2,1,5,215,8,Other
12689,26,2,1247.61,2011-11-14,4,2,4,424,10,Potential Loyalists
12690,206,1,389.01,2011-05-18,1,1,2,112,4,Hibernating
12691,29,6,1035.8,2011-11-11,4,5,4,454,13,Champions
12693,128,4,855.91,2011-08-04,2,4,3,243,9,At Risk
12694,71,2,869.67,2011-09-30,3,2,3,323,8,Potential Loyalists
12695,8,4,582.1,2011-12-02,5,4,3,543,12,Loyal Customers
12697,29,3,957.59,2011-11-11,4,3,4,434,11,Loyal Customers
12700,8,4,4939.99,2011-12-02,5,4,5,545,14,Champions
12701,80,2,797.71,2011-09-21,2,2,3,223,7,Need Attention
12702,20,1,219.0,2011-11-20,4,1,1,411,6,Recent Customers
12703,72,1,283.55,2011-09-29,3,1,2,312,6,Promising
12704,8,8,2340.84,2011-12-02,5,5,5,555,15,Champions
12705,16,9,6868.29,2011-11-24,4,5,5,455,14,Champions
12707,292,1,603.42,2011-02-21,1,1,3,113,5,Other
12708,30,10,2712.91,2011-11-10,4,5,5,455,14,Champions
12709,16,15,9706.52,2011-11-24,4,5,5,455,14,Champions
12710,97,3,1149.02,2011-09-04,2,3,4,234,9,At Risk
12712,29,13,4396.13,2011-11-11,4,5,5,455,14,Champions
12713,1,1,848.55,2011-12-09,5,1,3,513,9,Potential Loyalists
12714,10,5,4708.86,2011-11-30,5,4,5,545,14,Champions
12715,107,1,343.36,2011-08-25,2,1,2,212,5,About to Sleep
12716,4,2,1053.49,2011-12-06,5,2,4,524,11,Potential Loyalists
12717,152,2,1030.98,2011-07-11,2,2,4,224,8,Other
12718,72,1,238.25,2011-09-29,3,1,1,311,5,Promising
12719,6,2,644.95,2011-12-04,5,2,3,523,10,Potential Loyalists
12720,3,25,5781.73,2011-12-07,5,5,5,555,15,Champions
12721,32,6,2656.13,2011-11-08,4,5,5,455,14,Champions
12722,86,4,997.63,2011-09-15,2,4,4,244,10,Can't Lose Them
12723,4,5,725.07,2011-12-06,5,4,3,543,12,Loyal Customers
12724,6,4,1031.41,2011-12-04,5,4,4,544,13,Champions
12725,372,1,427.8,2010-12-03,1,1,2,112,4,Hibernating
12726,29,7,2609.1,2011-11-11,4,5,5,455,14,Champions
12727,11,7,3980.7,2011-11-29,5,5,5,555,15,Champions
12728,72,4,836.33,2011-09-29,3,4,3,343,10,Loyal Customers
12729,114,1,453.01,2011-08-18,2,1,2,212,5,About to Sleep
12731,24,12,18895.91,2011-11-16,4,5,5,455,14,Champions
12732,180,1,236.26,2011-06-13,2,1,1,211,4,About to Sleep
12733,235,1,383.95,2011-04-19,1,1,2,112,4,Hibernating
12734,353,1,110.4,2010-12-22,1,1,1,111,3,Lost
12735,316,2,779.57,2011-01-28,1,2,3,123,6,Other
12736,333,1,234.0,2011-01-11,1,1,1,111,3,Lost
12738,373,1,155.35,2010-12-02,1,1,1,111,3,Lost
12739,79,2,1013.04,2011-09-22,2,2,4,224,8,Other
12740,64,1,427.6,2011-10-07,3,1,2,312,6,Promising
12743,135,2,540.13,2011-07-28,2,2,3,223,7,Need Attention
12744,52,7,21279.29,2011-10-19,3,5,5,355,13,Loyal Customers
12747,3,11,4196.01,2011-12-07,5,5,5,555,15,Champions
12748,1,209,33053.19,2011-12-09,5,5,5,555,15,Champions
12749,4,5,4090.88,2011-12-06,5,4,5,545,14,Champions
12750,129,1,275.88,2011-08-03,2,1,2,212,5,About to Sleep
12752,82,1,4366.78,2011-09-19,2,1,5,215,8,Other
12753,23,6,21429.39,2011-11-17,4,5,5,455,14,Champions
12754,236,3,3010.74,2011-04-18,1,3,5,135,9,At Risk
12755,281,2,3811.95,2011-03-04,1,2,5,125,8,Other
12756,87,1,112.08,2011-09-14,2,1,1,211,4,About to Sleep
12757,16,13,7834.65,2011-11-24,4,5,5,455,14,Champions
12758,117,2,2791.59,2011-08-15,2,2,5,225,9,Other
12759,53,3,1531.44,2011-10-18,3,3,4,334,10,Loyal Customers
12762,8,2,1898.52,2011-12-02,5,2,4,524,11,Potential Loyalists
12763,139,2,494.08,2011-07-24,2,2,3,223,7,Need Attention
12764,317,1,1693.88,2011-01-27,1,1,4,114,6,Other
12766,4,7,6989.63,2011-12-06,5,5,5,555,15,Champions
12769,239,1,1143.6,2011-04-15,1,1,4,114,6,Other
12770,211,1,1351.45,2011-05-13,1,1,4,114,6,Other
12772,60,1,892.47,2011-10-11,3,1,3,313,7,Potential Loyalists
12775,18,5,1386.04,2011-11-22,4,4,4,444,12,Champions
12778,20,6,822.23,2011-11-20,4,5,3,453,12,Loyal Customers
12779,38,8,3981.36,2011-11-02,3,5,5,355,13,Loyal Customers
12781,64,2,826.74,2011-10-07,3,2,3,323,8,Potential Loyalists
12782,5,5,2330.92,2011-12-05,5,4,5,545,14,Champions
12783,3,6,2225.91,2011-12-07,5,5,5,555,15,Champions
12784,10,2,532.82,2011-11-30,5,2,3,523,10,Potential Loyalists
12785,365,1,311.95,2010-12-10,1,1,2,112,4,Hibernating
12787,10,3,463.66,2011-11-30,5,3,2,532,10,Potential Loyalists
12789,66,1,91.85,2011-10-05,3,1,1,311,5,Promising
12790,193,1,324.92,2011-05-31,1,1,2,112,4,Hibernating
12791,374,1,192.6,2010-12-01,1,1,1,111,3,Lost
12792,257,1,400.54,2011-03-28,1,1,2,112,4,Hibernating
12793,335,2,545.48,2011-01-09,1,2,3,123,6,Other
12794,54,2,860.41,2011-10-17,3,2,3,323,8,Potential Loyalists
12795,19,1,430.48,2011-11-21,4,1,2,412,7,Promising
12797,366,1,254.03,2010-12-09,1,1,2,112,4,Hibernating
12798,11,3,6977.04,2011-11-29,5,3,5,535,13,Loyal Customers
12802,187,1,427.58,2011-06-06,1,1,2,112,4,Hibernating
12808,37,3,483.65,2011-11-03,3,3,2,332,8,Potential Loyalists
12809,178,1,489.31,2011-06-15,2,1,3,213,6,Other
12811,261,3,514.85,2011-03-24,1,3,3,133,7,At Risk
12812,45,1,229.64,2011-10-26,3,1,1,311,5,Promising
12814,102,1,125.92,2011-08-30,2,1,1,211,4,About to Sleep
12815,148,2,1063.46,2011-07-15,2,2,4,224,8,Other
12816,96,2,572.2,2011-09-05,2,2,3,223,7,Need Attention
12817,282,1,166.04,2011-03-03,1,1,1,111,3,Lost
12818,262,1,1542.08,2011-03-23,1,1,4,114,6,Other
12820,4,4,942.34,2011-12-06,5,4,4,544,13,Champions
12821,215,1,92.72,2011-05-09,1,1,1,111,3,Lost
12822,71,2,948.88,2011-09-30,3,2,4,324,9,Potential Loyalists
12823,75,5,1759.5,2011-09-26,2,4,4,244,10,Can't Lose Them
12824,60,1,397.12,2011-10-11,3,1,2,312,6,Promising
12826,3,7,1474.72,2011-12-07,5,5,4,554,14,Champions
12827,6,3,430.15,2011-12-04,5,3,2,532,10,Potential Loyalists
12828,3,6,1018.71,2011-12-07,5,5,4,554,14,Champions
12829,337,2,293.0,2011-01-07,1,2,2,122,5,Hibernating
12830,38,6,6814.64,2011-11-02,3,5,5,355,13,Loyal Customers
12831,263,1,215.05,2011-03-22,1,1,1,111,3,Lost
12832,33,2,383.03,2011-11-07,4,2,2,422,8,Promising
12833,146,1,417.38,2011-07-17,2,1,2,212,5,About to Sleep
12834,283,1,312.38,2011-03-02,1,1,2,112,4,Hibernating
12836,60,4,2610.36,2011-10-11,3,4,5,345,12,Loyal Customers
12837,174,1,134.1,2011-06-19,2,1,1,211,4,About to Sleep
12838,34,2,671.95,2011-11-06,3,2,3,323,8,Potential Loyalists
12839,3,14,5591.42,2011-12-07,5,5,5,555,15,Champions
12840,144,4,2726.77,2011-07-19,2,4,5,245,11,Can't Lose Them
12841,5,25,3991.58,2011-12-05,5,5,5,555,15,Champions
12842,71,2,1118.99,2011-09-30,3,2,4,324,9,Potential Loyalists
12843,66,8,1702.26,2011-10-05,3,5,4,354,12,Loyal Customers
12844,30,2,325.96,2011-11-10,4,2,2,422,8,Promising
12845,268,4,354.09,2011-03-17,1,4,2,142,7,Other
12847,23,1,843.64,2011-11-17,4,1,3,413,8,Potential Loyalists
12849,32,2,1010.29,2011-11-08,4,2,4,424,10,Potential Loyalists
12851,97,1,131.81,2011-09-04,2,1,1,211,4,About to Sleep
12852,295,1,311.55,2011-02-18,1,1,2,112,4,Hibernating
12853,135,6,1957.1,2011-07-28,2,5,4,254,11,Can't Lose Them
12854,79,3,1316.25,2011-09-22,2,3,4,234,9,At Risk
12855,373,1,38.1,2010-12-02,1,1,1,111,3,Lost
12856,8,6,2170.78,2011-12-02,5,5,5,555,15,Champions
12857,211,2,1106.4,2011-05-13,1,2,4,124,7,Other
12863,53,1,521.2,2011-10-18,3,1,3,313,7,Potential Loyalists
